"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""1900 <= Year >= 2022"",""Country = INDIA""]"																																						
	1905	4	4	0	50	0	1322		"INDIA:  KANGRA"	33	76	25	7.8	10	19000	4						4					19000	4						4				
	1941	6	26	11	52	3.7	1746		"INDIA:  ANDAMAN ISLANDS,MADRAS; SRI LANKA:  COLOMBO"	11.94	92.626	20	8			1				1		4		4				1				1		4		4		
	1947	7	29	13	43	22			"INDIA-CHINA"	28.5	94	60	7.9																									
	1950	8	15	14	9	30	1806		"INDIA-CHINA"	28.5	96.5	33	8.6	11	1530	4					20	3					1530	4					20	3				
	1955	5	17	14	49	49	1850		"INDIA:  LITTLE NICOBAR ISLAND"	6.5	94		7.3																									
	1956	7	21	15	32	30.1			"INDIA:  ANJAR, BHUJ, GANDHIDHAM, KANDLA"	23.278	70.107	15	6	9	156	3						3					156	3						3				
	1960	8	27	15	58	0			"INDIA:  N"	28.6	76.7	58										2																
	1961	2	4	8	51	0			"INDIA"	24.9	93.34	141	7.6																									
	1963	9	2	1	34	0			"INDIA:  KASHMIR:  SW"	33.9	74.8	25	5.3		80	2						2																
	1966	8	15	2	15	0			"INDIA:  N"	28.7	78.9	53	5.6		15	1						1																
	1967	12	10	22	51	23.5			"INDIA"	17.412	73.885	15	6.6	8	180	3					0.4	1					180	3					0.4	1				
	1970	3	23	1	52	59.3			"INDIA:  BROACH"	21.7	73	3	5.4		26	1			200	3		2					26	1			200	2		2				
	1975	1	19	8	2	2.5			"INDIA:  KASHMIR:   KINNAUR DISTRICT"	32.46	78.43	33	6.8		47	1						2					47	1						2				
	1980	8	23	21	36	51.6			"INDIA:  KASHMIR"	32.913	75.633	25	4.9		15	1			40	1		2		3		3	15	1			40	1		2		3		
	1980	8	23	21	50	3			"INDIA:  KASHMIR"	32.834	75.629	33	4.8			1						1						1						1				
	1982	1	20	4	25	11.6			"INDIA:  LITTLE NICOBAR ISLAND"	6.946	94.002	19	6.3	8						2		2										2		2				
	1984	12	30	23	33	37.7			"INDIA:  ASSAM, CACHAR DISTRICT"	24.641	92.891	23	5.6		20	1			100	2		3					20	1			100	2		3				
	1986	4	26	7	35	16.1			"INDIA:  KASHMIR:  DHARMSALA,  LAHORE, PAKISTAN"	32.128	76.374	33	5.3		6	1			30	1		3					6	1			60	1		3				3
	1991	10	19	21	23	14.3			"INDIA:  CHAMOLI, UTTARKASHI, NEW DELHI, CHANDIGARH"	30.78	78.774	10	7	8	2000	4			1800	4	60	4	7500	4	7500	4	2000	4			1800	4	60	4	7500	4		
	1991	11	8	15	13	44.1			"INDIA:  JODHPUR, JAISALMER"	26.323	70.607	22	5									1												1				
	1993	9	29	22	25	48.6			"INDIA:  LATUR-OSMANABAD, KILLARI"	18.066	76.451	7	6.2	8	11000	4			30000	4	300	4		4		4	11000	4			30000	4	300	4		4		4
	1993	11	12	13	27	28.1			"INDIA:  LATUR"	18.12	76.533	10	4.6						25	1		1									25	1		1			100	2
	1997	5	21	22	51	28.7			"INDIA:  SOUTHERN:  JABALPUR"	23.083	80.041	36	5.8	8	56	2			1000	4	143	4	8546	4	8546	4	56	2			1000	4	143	4	8546	4	52690	4
	1997	11	21	11	23	6.3			"INDIA-BANGLADESH:  CHITTAGONG, BANGLADESH"	22.212	92.702	54	6.1		23	1			200	3		1	1	1		1	23	1			200	3		1	1	1		1
